Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,0.6187396049499512
RandomForest,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,3.7713239192962646
Logistic Regression,0.994912379875636,0.9967153698040548,0.9958130587303384,0.9957904317651743,0.5592961311340332
Naive Bayes,0.9897534061479563,0.9955827387020048,0.9926595143986447,0.9926048125604414,0.07716941833496094
MLP,0.9981879954699887,0.9983010533469249,0.9982445212073163,0.9982365322259514,6.263416290283203
Stochastic Gradient Descent,0.9906521004617637,0.9962623173632348,0.9934492884571945,0.9934012173616247,0.13150429725646973
ADA Boost,1.0,1.0,1.0,1.0,19.3073787689209
Gradient Boosting,1.0,0.9996602106693849,0.9998300764655904,0.9998293418283178,41.47932720184326
XGBoost,1.0,0.999886736889795,0.9999433652375829,0.9999431139427726,1.688185691833496
LightGBM,0.9998867497168743,1.0,0.9999433716518489,0.9999431139427726,0.5930438041687012
CatBoost,1.0,1.0,1.0,1.0,2.4418909549713135
DNN,0.9975082115754899,0.9975082115754899,0.9975082115754899,0.9974970134819956,8.97121787071228
CNN,0.9882471457353929,1.0,0.9940888363452118,0.9940269639911258,19.023966789245605
RNN,0.9877293707080941,0.9937705289387246,0.9907407407407407,0.9906706866147107,135.7079155445099
